Layer,Responsibility,Asset_Count,Database_Count,Architecture_Status,Governance_Status,Risk,Architecture_Source,Rule_Source,Validation_Time
05_MARKET_LAYER,OMEGA_RUNTIME_LAYER,1,1,ALIGNED,APPROVED_PENDING_REVIEW,LOW,Omega_V3.2_Baseline,CLAUDE.md,2026-07-25 13:17:17.373805
06_RISK_LAYER,OMEGA_RUNTIME_LAYER,1,1,ALIGNED,APPROVED_PENDING_REVIEW,LOW,Omega_V3.2_Baseline,CLAUDE.md,2026-07-25 13:17:17.373805
07_LEARNING_LAYER,OMEGA_RUNTIME_LAYER,1,1,ALIGNED,APPROVED_PENDING_REVIEW,LOW,Omega_V3.2_Baseline,CLAUDE.md,2026-07-25 13:17:17.373805
08_DECISION_LAYER,OMEGA_RUNTIME_LAYER,5,1,ALIGNED,APPROVED_PENDING_REVIEW,LOW,Omega_V3.2_Baseline,CLAUDE.md,2026-07-25 13:17:17.373805
09_APPLICATION_LAYER,OMEGA_RUNTIME_LAYER,5,1,ALIGNED,APPROVED_PENDING_REVIEW,LOW,Omega_V3.2_Baseline,CLAUDE.md,2026-07-25 13:17:17.373805
10_GOVERNANCE_LAYER,SYSTEM_GOVERNANCE,87,0,ALIGNED,APPROVED_PENDING_REVIEW,LOW,Omega_V3.2_Baseline,CLAUDE.md,2026-07-25 13:17:17.373805
11_SIMULATION_LAYER,SIMULATION_ENGINE,6,1,ALIGNED,APPROVED_PENDING_REVIEW,LOW,Omega_V3.2_Baseline,CLAUDE.md,2026-07-25 13:17:17.380756
12_API_LAYER,SERVICE_INTERFACE,7,1,ALIGNED,APPROVED_PENDING_REVIEW,LOW,Omega_V3.2_Baseline,CLAUDE.md,2026-07-25 13:17:17.380756
13_TEST_LAYER,VALIDATION_TEST,5,1,ALIGNED,APPROVED_PENDING_REVIEW,LOW,Omega_V3.2_Baseline,CLAUDE.md,2026-07-25 13:17:17.382463
99_DOCUMENTATION,DOCUMENT_REFERENCE,384,2,ALIGNED,APPROVED_PENDING_REVIEW,LOW,Omega_V3.2_Baseline,CLAUDE.md,2026-07-25 13:17:17.393385
