Asset,Source,Classification,Decision,Risk,Status
database_registry,CURRENT_MODEL_STORE,GOVERNANCE_ASSET,KEEP_CURRENT,LOW,APPROVED
model_data_registry,CURRENT_MODEL_STORE,GOVERNANCE_ASSET,KEEP_CURRENT,LOW,APPROVED
model_registry,CURRENT_MODEL_STORE,GOVERNANCE_ASSET,KEEP_CURRENT,LOW,APPROVED
runtime_log,CURRENT_MODEL_STORE,RUNTIME_ASSET,KEEP_CURRENT,LOW,APPROVED
system_registry,CURRENT_MODEL_STORE,GOVERNANCE_ASSET,KEEP_CURRENT,LOW,APPROVED
dixon_coles_model,LEGACY_MODEL_STORE,MODEL_ASSET,RETAIN,MEDIUM,FROZEN
elo_model,LEGACY_MODEL_STORE,MODEL_ASSET,RETAIN,MEDIUM,FROZEN
poisson_model,LEGACY_MODEL_STORE,MODEL_ASSET,RETAIN,MEDIUM,FROZEN
xgboost_model,LEGACY_MODEL_STORE,MODEL_ASSET,RETAIN,MEDIUM,FROZEN
fusion_model,LEGACY_MODEL_STORE,FUSION_MODEL,RETAIN,HIGH,FROZEN
model_weight,LEGACY_MODEL_STORE,MODEL_PARAMETER,RETAIN,HIGH,FROZEN
model_weight_history,LEGACY_MODEL_STORE,HISTORY_ASSET,RETAIN,MEDIUM,FROZEN
prediction_history,LEGACY_MODEL_STORE,PREDICTION_HISTORY,RETAIN,MEDIUM,FROZEN
prediction_result,LEGACY_MODEL_STORE,PREDICTION_RESULT,RETAIN,MEDIUM,FROZEN
prediction_feature_snapshot,LEGACY_MODEL_STORE,FEATURE_SNAPSHOT,RETAIN,MEDIUM,FROZEN
model_version,LEGACY_MODEL_STORE,VERSION_ASSET,RETAIN,LOW,FROZEN
