status,migration,file
B,整理后迁移,E:\football_v\check_db_tables.py
C,测试验证,E:\football_v\conftest.py
A,核心资产，优先迁移,E:\football_v\database_inspector.py
A,核心资产，优先迁移,E:\football_v\database_migration_engine_V1.0.py
A,核心资产，优先迁移,E:\football_v\deploy_ai_intelligence_V2.0.py
B,整理后迁移,E:\football_v\deploy_console_v1_1.py
A,核心资产，优先迁移,E:\football_v\deploy_frozen_v15_completion.py
B,整理后迁移,E:\football_v\deploy_integration_test_V1.5.py
B,整理后迁移,E:\football_v\deploy_integration_validation_V1.5.py
C,测试验证,E:\football_v\deploy_local_console_v1.py
A,核心资产，优先迁移,E:\football_v\deploy_phase11.py
A,核心资产，优先迁移,E:\football_v\deploy_phase12.py
A,核心资产，优先迁移,E:\football_v\deploy_phase13.py
A,核心资产，优先迁移,E:\football_v\deploy_phase14.py
A,核心资产，优先迁移,E:\football_v\deploy_phase15.py
A,核心资产，优先迁移,E:\football_v\deploy_phase16.py
A,核心资产，优先迁移,E:\football_v\deploy_phase17.py
A,核心资产，优先迁移,E:\football_v\deploy_phase18_20.py
A,核心资产，优先迁移,E:\football_v\deploy_phase21_25.py
A,核心资产，优先迁移,E:\football_v\deploy_phase26_30.py
B,整理后迁移,E:\football_v\deploy_phase31_35.py
A,核心资产，优先迁移,E:\football_v\deploy_phase36_40.py
B,整理后迁移,E:\football_v\deploy_phase51_55.py
A,核心资产，优先迁移,E:\football_v\deploy_phase56_60.py
D,归档,E:\football_v\deploy_remaining_modules_V1.5.py
A,核心资产，优先迁移,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py
C,测试验证,E:\football_v\deploy_v15_phase2_patch3.py
A,核心资产，优先迁移,E:\football_v\final_acceptance_test.py
B,整理后迁移,E:\football_v\final_deploy.py
C,测试验证,E:\football_v\FINAL_FREEZE_REPORT.json
B,整理后迁移,E:\football_v\fix_integration_report_schema_V1.5.py
C,测试验证,E:\football_v\framework_migration_report.json
C,测试验证,E:\football_v\legacy_delete_check.py
B,整理后迁移,E:\football_v\migration_test.py
A,核心资产，优先迁移,E:\football_v\phase12_test.py
A,核心资产，优先迁移,E:\football_v\phase13_test.py
A,核心资产，优先迁移,E:\football_v\phase14_test.py
A,核心资产，优先迁移,E:\football_v\phase15_test.py
A,核心资产，优先迁移,E:\football_v\phase16_test.py
A,核心资产，优先迁移,E:\football_v\phase17_test.py
C,测试验证,E:\football_v\phase1_python_asset_scan.py
A,核心资产，优先迁移,E:\football_v\phase21_25_test.py
A,核心资产，优先迁移,E:\football_v\phase26_30_test.py
A,核心资产，优先迁移,E:\football_v\phase2_function_scan.py
B,整理后迁移,E:\football_v\phase36_40_deploy.py
B,整理后迁移,E:\football_v\phase36_40_deploy_test.py
A,核心资产，优先迁移,E:\football_v\phase36_40_test.py
C,测试验证,E:\football_v\phase3_call_graph_scan.py
B,整理后迁移,E:\football_v\phase41_45_deploy_test.py
B,整理后迁移,E:\football_v\phase46_50_deploy_test.py
C,测试验证,E:\football_v\phase4_database_scan.py
A,核心资产，优先迁移,E:\football_v\phase51_55_final_validation.py
A,核心资产，优先迁移,E:\football_v\phase51_validation.py
A,核心资产，优先迁移,E:\football_v\phase52_backtest.py
B,整理后迁移,E:\football_v\phase5_model_scan.py
A,核心资产，优先迁移,E:\football_v\phase6_feature_scan.py
B,整理后迁移,E:\football_v\phase7_runtime_scan.py
A,核心资产，优先迁移,E:\football_v\phase8_status_scan.py
C,测试验证,E:\football_v\quality_report.json
A,核心资产，优先迁移,E:\football_v\release_final_patch_V2.0.1.py
A,核心资产，优先迁移,E:\football_v\release_integration_V2.0.py
C,测试验证,E:\football_v\release_registry_V1.5.json
B,整理后迁移,E:\football_v\release_validation_V1.5.py
C,测试验证,E:\football_v\start_ai_os.py
A,核心资产，优先迁移,E:\football_v\test_ai_intelligence_V2.0.py
A,核心资产，优先迁移,E:\football_v\validate_release_V2.0.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\__main__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\__pip-runner__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\build_env.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\main.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\self_outdated_check.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\wheel_builder.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\autocompletion.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\base_command.py
A,核心资产，优先迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\cmdoptions.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\command_context.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\index_command.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\main_parser.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\parser.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\progress_bars.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\req_command.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\spinners.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\status_codes.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\cli\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\cache.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\check.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\completion.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\configuration.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\debug.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\download.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\freeze.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\hash.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\help.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\index.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\inspect.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\install.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\list.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\search.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\show.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\uninstall.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\wheel.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\commands\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\base.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\installed.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\sdist.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\wheel.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\distributions\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\collector.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\package_finder.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\sources.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_internal\index\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\base.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_distutils.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\_sysconfig.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\locations\__init__.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\base.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\pkg_resources.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\_json.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_compat.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_dists.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\_envs.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\metadata\importlib\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\candidate.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\direct_url.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\format_control.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\index.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\installation_report.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\link.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\scheme.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\search_scope.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\selection_prefs.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\target_python.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\wheel.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\models\__init__.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\auth.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\cache.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\download.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\lazy_wheel.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\session.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\utils.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\xmlrpc.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_internal\network\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\check.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\freeze.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\prepare.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\build_tracker.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_editable.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_editable.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\build\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\wheel.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_internal\operations\install\__init__.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\constructors.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_file.py
A,核心资产，优先迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_install.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_set.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\req_uninstall.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\req\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\base.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\__init__.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\found_candidates.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\reporter.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\appdirs.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compat.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\compatibility_tags.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\datetime.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\deprecation.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\egg_link.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\entrypoints.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\filesystem.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\filetypes.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\glibc.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\hashes.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\logging.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\misc.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\packaging.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\retry.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\setuptools_build.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\subprocess.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\temp_dir.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\unpacking.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\urls.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\virtualenv.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\wheel.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_jaraco_text.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\_log.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_internal\utils\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\bazaar.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\git.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\mercurial.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\subversion.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\versioncontrol.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_internal\vcs\__init__.py
A,核心资产，优先迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\typing_extensions.py
B,整理后迁移,E:\football_v\.venv\Lib\site-packages\pip\_vendor\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\adapter.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\cache.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\controller.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\filewrapper.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\heuristics.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\serialize.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\wrapper.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\_cmd.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\file_cache.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\certifi\core.py
D,归档,E:\football_v\.venv\Lib\site-packages\pip\_vendor\certifi\__init__.py
C,测试验证,E:\football_v\.venv\Lib\site-packages\pip\_vendor\certifi\__main__.py
