layers,classes,file,functions
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_frozen_v15_completion.py,
DECISION|REPORT|RUNTIME,,E:\football_v\deploy_local_console_v1.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_phase11.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_phase12.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_phase13.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_phase14.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_phase15.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_phase16.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_phase17.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_phase18_20.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_phase21_25.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_phase26_30.py,
DECISION|REPORT|RUNTIME,,E:\football_v\deploy_phase31_35.py,
DECISION|REPORT|RUNTIME,,E:\football_v\deploy_phase36_40.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\deploy_remaining_modules_V1.5_FINAL.py,write_file|create_modules|create_tests|update_registry
DECISION|RUNTIME,,E:\football_v\deploy_v15_phase2_patch3.py,write_file
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\final_acceptance_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase12_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase13_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase14_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase15_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase16_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase17_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase21_25_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase26_30_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase36_40_deploy.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase36_40_deploy_test.py,
DECISION|REPORT|RUNTIME,,E:\football_v\phase36_40_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase41_45_deploy_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase46_50_deploy_test.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase51_55_final_validation.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase51_validation.py,
DECISION|PREDICTION|REPORT|RUNTIME,,E:\football_v\phase52_backtest.py,
RUNTIME,,E:\football_v\start_ai_os.py,
PREDICTION,,E:\football_v\.venv\Lib\site-packages\pip\__main__.py,
PREDICTION|REPORT,Cache|SimpleWheelCache|EphemWheelCache|CacheEntry|WheelCache,E:\football_v\.venv\Lib\site-packages\pip\_internal\cache.py,_hash_dict|__init__|_get_cache_path_parts|_get_candidates|get_path_for_link|get|__init__|get_path_for_link|get|__init__|__init__|__init__|get_path_for_link|get_ephem_path_for_link|get|get_cache_entry|record_download_origin
REPORT,Configuration,E:\football_v\.venv\Lib\site-packages\pip\_internal\configuration.py,_normalize_name|_disassemble_key|get_configuration_files|__init__|load|get_file_to_edit|items|get_value|set_value|unset_value|save|_ensure_have_load_only|_dictionary|_load_config_files|_load_file|_construct_parser|_load_environment_vars|_normalized_keys|get_environ_vars|iter_config_files|get_values_in_config|_get_parser_to_modify|_mark_as_modified|__repr__
DECISION|PREDICTION|REPORT,PipError|DiagnosticPipError|ConfigurationError|InstallationError|MissingPyProjectBuildRequires|InvalidPyProjectBuildRequires|NoneMetadataError|UserInstallationInvalid|InvalidSchemeCombination|DistributionNotFound|RequirementsFileParseError|BestVersionAlreadyInstalled|BadCommand|CommandError|PreviousBuildDirError|NetworkConnectionError|InvalidWheelFilename|UnsupportedWheel|InvalidWheel|MetadataInconsistent|MetadataInvalid|InstallationSubprocessError|MetadataGenerationFailed|HashErrors|HashError|VcsHashUnsupported|DirectoryUrlHashUnsupported|HashMissing|HashUnpinned|HashMismatch|UnsupportedPythonVersion|ConfigurationFileCouldNotBeLoaded|ExternallyManagedEnvironment|UninstallMissingRecord|LegacyDistutilsInstall|InvalidInstalledPackage,E:\football_v\.venv\Lib\site-packages\pip\_internal\exceptions.py,_is_kebab_case|_prefix_with_indent|__init__|__repr__|__rich_console__|__init__|__init__|__init__|__str__|__str__|__str__|__init__|__str__|__init__|__str__|__init__|__str__|__init__|__str__|__init__|__str__|__init__|__str__|__init__|append|__str__|__bool__|body|__str__|_requirement_name|__init__|body|__init__|body|_hash_comparison|__init__|__str__|__init__|_iter_externally_managed_error_keys|from_config|__init__|__init__|__init__|hash_then_or
REPORT,,E:\football_v\.venv\Lib\site-packages\pip\_internal\pyproject.py,_is_list_of_str|make_pyproject_path|load_pyproject_toml
