Asset,Source,Classification,Decision,Risk,Status
database_registry,CURRENT_FEATURE_STORE,GOVERNANCE_ASSET,KEEP_CURRENT,LOW,APPROVED
team_rating,CURRENT_FEATURE_STORE,RATING_ASSET,KEEP_CURRENT,LOW,APPROVED
team_form,CURRENT_FEATURE_STORE,RATING_ASSET,KEEP_CURRENT,LOW,APPROVED
home_away_rating,CURRENT_FEATURE_STORE,RATING_ASSET,KEEP_CURRENT,LOW,APPROVED
poisson_rating,CURRENT_FEATURE_STORE,RATING_ASSET,KEEP_CURRENT,LOW,APPROVED
dixon_coles_rating,CURRENT_FEATURE_STORE,RATING_ASSET,KEEP_CURRENT,LOW,APPROVED
fatigue_history,CURRENT_FEATURE_STORE,HISTORY_ASSET,KEEP_CURRENT,MEDIUM,APPROVED
xg_features_history,CURRENT_FEATURE_STORE,ML_FEATURE,KEEP_CURRENT,MEDIUM,APPROVED
xg_features_temp,CURRENT_FEATURE_STORE,TEMP_FEATURE,RETAIN,LOW,APPROVED
elo_history,CURRENT_FEATURE_STORE,HISTORY_ASSET,KEEP_CURRENT,MEDIUM,APPROVED
dixon_coles_history,CURRENT_FEATURE_STORE,HISTORY_ASSET,KEEP_CURRENT,MEDIUM,APPROVED
poisson_history,CURRENT_FEATURE_STORE,HISTORY_ASSET,KEEP_CURRENT,MEDIUM,APPROVED
home_away_history,CURRENT_FEATURE_STORE,HISTORY_ASSET,KEEP_CURRENT,MEDIUM,APPROVED
team_form_history,CURRENT_FEATURE_STORE,HISTORY_ASSET,KEEP_CURRENT,MEDIUM,APPROVED
fatigue_rating,CURRENT_FEATURE_STORE,RATING_ASSET,KEEP_CURRENT,LOW,APPROVED
feature_vector,LEGACY_FEATURE_STORE,LEGACY_FEATURE,ARCHIVE_REFERENCE,MEDIUM,FROZEN
