Layer,Exists,Asset_Count,Database_Count,Architecture_Status,Governance_Status,Risk,Architecture_Source,Rule_Source,Validation_Time
01_DATA_LAYER,True,1,1,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.108060
02_FEATURE_LAYER,True,1,1,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.108060
03_MODEL_LAYER,True,10,3,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.108060
04_PREDICTION_LAYER,True,10,3,ALIGNED,REFERENCE_ONLY,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.108060
05_MARKET_LAYER,True,1,1,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.108060
06_RISK_LAYER,True,1,1,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.108060
07_LEARNING_LAYER,True,1,1,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.108060
08_DECISION_LAYER,True,5,1,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.108060
09_APPLICATION_LAYER,True,5,1,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.123689
10_GOVERNANCE_LAYER,True,106,0,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.123689
11_SIMULATION_LAYER,True,6,1,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.123689
12_API_LAYER,True,7,1,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.123689
13_TEST_LAYER,True,5,1,ALIGNED,FROZEN_APPROVED,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.123689
99_DOCUMENTATION,True,384,2,ALIGNED,REFERENCE_ONLY,LOW,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,CLAUDE.md,2026-07-25 13:29:02.123689
