Asset_ID,Asset_Category,Asset_Name,Source_Path,Target_Path,Architecture_Layer,Architecture_Role,Model_Pool_Status,Classification,Action,Data_Leakage_Risk,Notes
LEGACY_MODEL_001,MODEL,elo_engine,E:\football\Football_AI_System\03_Model_Engine\02_Probability_Model\Elo\elo_engine.py,LEGACY_IMPORT\01_PREDICTION_MODELS\Elo\elo_engine.py,Layer 3 - Prediction Intelligence,Elo Rating Engine - Team strength baseline,CORE,CLASS_A,直接迁移,NONE,标准Elo算法; K=30; 主场优势60分; 生成elo_history和team_rating表
LEGACY_MODEL_002,MODEL,dixon_coles,E:\football\Football_AI_System\03_Model_Engine\02_Probability_Model\Dixon_Coles\dixon_coles.py,LEGACY_IMPORT\01_PREDICTION_MODELS\Dixon_Coles\dixon_coles.py,Layer 3 - Prediction Intelligence,Dixon-Coles Probability Engine - Low-score probability,CORE,CLASS_A,直接迁移,NONE,简化Dixon-Coles; 攻防参数迭代; 生成dixon_coles_rating表
LEGACY_MODEL_002B,MODEL,dixon_coles_history,E:\football\Football_AI_System\03_Model_Engine\02_Probability_Model\Dixon_Coles\dixon_coles_history_engine.py,LEGACY_IMPORT\01_PREDICTION_MODELS\Dixon_Coles\dixon_coles_history_engine.py,Layer 3 - Prediction Intelligence,Dixon-Coles Time-Series History,CORE,CLASS_A,直接迁移,NONE,时间序列版本; 快照每场比赛后的攻防参数; 可用于回测
LEGACY_MODEL_003,MODEL,poisson_engine,E:\football\Football_AI_System\03_Model_Engine\02_Probability_Model\Poisson\poisson_engine.py,LEGACY_IMPORT\01_PREDICTION_MODELS\Poisson\poisson_engine.py,Layer 3 - Prediction Intelligence,Poisson Goal Model - Goal probability,CORE,CLASS_A,直接迁移,NONE,泊松分布; 攻击/防守强度计算; 使用config.DATABASE_PATH; 生成poisson_rating表
LEGACY_MODEL_003B,MODEL,poisson_history,E:\football\Football_AI_System\03_Model_Engine\02_Probability_Model\Poisson\poisson_history_engine.py,LEGACY_IMPORT\01_PREDICTION_MODELS\Poisson\poisson_history_engine.py,Layer 3 - Prediction Intelligence,Poisson Time-Series History,CORE,CLASS_A,直接迁移,NONE,时间序列版本; 更新model_data_registry; 可用于回测
LEGACY_MODEL_004,MODEL,xgboost_engine,E:\football\Football_AI_System\03_Model_Engine\03_Machine_Learning\XGBoost\xgboost_engine.py,LEGACY_IMPORT\01_PREDICTION_MODELS\XGBoost\xgboost_engine.py,Layer 3 - Prediction Intelligence,XGBoost ML Predictor,CORE,CLASS_A,直接迁移,NONE,基础XGBoost; LabelEncoder球队编码; 200棵树/深度5; 准确率输出
LEGACY_MODEL_005,MODEL,xgboost_fusion,E:\football\Football_AI_System\03_Model_Engine\03_Machine_Learning\XGBoost\xgboost_fusion_engine.py,LEGACY_IMPORT\01_PREDICTION_MODELS\XGBoost\xgboost_fusion_engine.py,Layer 3 - Prediction Intelligence,Multi-Model Fusion Engine,CORE,CLASS_A,直接迁移,HIGH_USES_DEPRECATED,融合Elo+Dixon-Coles+Poisson+赔率+比赛统计; 300棵树/深度6; 使用dixon_coles_rating和poisson_rating(标记为deprecated)
LEGACY_MODEL_005B,MODEL,xgboost_fusion_v2,E:\football\Football_AI_System\03_Model_Engine\03_Machine_Learning\XGBoost\xgboost_fusion_v2_engine.py,LEGACY_IMPORT\01_PREDICTION_MODELS\XGBoost\xgboost_fusion_v2_engine.py,Layer 3 - Prediction Intelligence,Advanced Fusion V2 with Form/Fatigue/HomeAway,CORE,CLASS_A,直接迁移,NONE,融合form+fatigue+home_away; JOIN时间序列表; 300棵树/深度5; subsample=0.8
LEGACY_DATA_001,DATA_ENGINE,match_loader,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\match_loader.py,LEGACY_IMPORT\02_DATA_ENGINE\match_loader.py,Layer 1 - Data Intelligence,Match Data Loader - Stub,SUPPORT,CLASS_B,需改造,STUB,存根模块; 仅打印占位; 需要实现实际数据加载逻辑
LEGACY_DATA_002,DATA_ENGINE,odds_loader,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\odds_loader.py,LEGACY_IMPORT\02_DATA_ENGINE\odds_loader.py,Layer 4 - Market Intelligence,Odds Data Loader - Stub,SUPPORT,CLASS_B,需改造,STUB,存根模块; 仅打印占位; 需要实现赔率数据加载
LEGACY_DATA_003,DATA_ENGINE,team_loader,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\team_loader.py,LEGACY_IMPORT\02_DATA_ENGINE\team_loader.py,Layer 1 - Data Intelligence,Team Data Loader - Stub,SUPPORT,CLASS_B,需改造,STUB,存根模块; 仅打印占位; 需要实现球队数据加载
LEGACY_DATA_004,DATA_ENGINE,competition_loader,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\competition_loader.py,LEGACY_IMPORT\02_DATA_ENGINE\competition_loader.py,Layer 2 - Competition Intelligence,Competition Data Loader,SUPPORT,CLASS_B,需改造,DEPENDS_ON_API,依赖StatsAPI客户端; 从API获取联赛数据
LEGACY_DATA_005,DATA_ENGINE,form_engine,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\form_engine.py,LEGACY_IMPORT\02_DATA_ENGINE\form_engine.py,Layer 1 - Data Intelligence,Team Form Calculator,FUTURE_DATA_LEAKAGE,CLASS_C,需重构为时间序列,HIGH,全量计算最近5/10场; 包含未来数据泄露; 需改造为逐场快照模式
LEGACY_DATA_006,DATA_ENGINE,fatigue_engine_v2,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\fatigue_engine_v2.py,LEGACY_IMPORT\02_DATA_ENGINE\fatigue_engine_v2.py,Layer 1 - Data Intelligence,Fatigue Calculator,FUTURE_DATA_LEAKAGE,CLASS_C,需重构为时间序列,HIGH,使用current_date=max(all_dates)作为参考点; 包含未来数据泄露; 需改造
LEGACY_DATA_007,DATA_ENGINE,home_away_engine,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\home_away_engine.py,LEGACY_IMPORT\02_DATA_ENGINE\home_away_engine.py,Layer 1 - Data Intelligence,Home/Away Performance Calculator,FUTURE_DATA_LEAKAGE,CLASS_C,需重构为时间序列,HIGH,全量统计主客场; 包含未来数据泄露; 需改造为逐场快照模式
LEGACY_DATA_008,DATA_ENGINE,clean_matches,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\clean_matches.py,LEGACY_IMPORT\02_DATA_ENGINE\clean_matches.py,Layer 1 - Data Intelligence,Data Cleaning Pipeline,SUPPORT,CLASS_A,直接迁移,NONE,从matches_full清洗数据; 过滤NULL值; 生成matches_clean表
LEGACY_DATA_009,DATA_ENGINE,team_form_history,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\team_form_history_engine.py,LEGACY_IMPORT\02_DATA_ENGINE\team_form_history_engine.py,Layer 1 - Data Intelligence,Team Form Time-Series History,SUPPORT,CLASS_A,直接迁移,待评估,时间序列版本的表单历史
LEGACY_DATA_010,DATA_ENGINE,home_away_history,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\home_away_history_engine.py,LEGACY_IMPORT\02_DATA_ENGINE\home_away_history_engine.py,Layer 1 - Data Intelligence,Home/Away Time-Series History,SUPPORT,CLASS_A,直接迁移,待评估,时间序列版本的主客场历史
LEGACY_DATA_011,DATA_ENGINE,fatigue_history,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\fatigue_history_engine.py,LEGACY_IMPORT\02_DATA_ENGINE\fatigue_history_engine.py,Layer 1 - Data Intelligence,Fatigue Time-Series History,SUPPORT,CLASS_A,直接迁移,待评估,时间序列版本的疲劳度历史
LEGACY_SUPPORT_001,SUPPORTING,data_audit_engine,E:\football\Football_AI_System\03_Model_Engine\01_Data_Engine\data_engine\data_audit_engine.py,LEGACY_IMPORT\03_SUPPORTING\data_audit_engine.py,Layer 0 - AI Governance,Data Quality Audit Tool,EVALUATION,CLASS_A,直接迁移,NONE,数据库表审计; 风险等级评估; 生成data_audit_report表
