Asset,Path,Layer,Size_MB,SQLite,Tables,SHA256,Ownership,Lifecycle,Architecture,Legacy_Source,Rule_Source,Validation_Time
prediction_service.db,E:\football_v\04_PREDICTION_LAYER\database\prediction_service.db,04_PREDICTION_LAYER,0.0195,PASS,4,98ca3b75c522a19766b3a2111eb03ae76afeff083ec73bbfafff5e546968b4c6,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.601473
api_runtime.db,E:\football_v\04_PREDICTION_LAYER\runtime\api_runtime.db,04_PREDICTION_LAYER,0.0078,PASS,1,974832cd6e070efb876c3f18c5a9864ddf1660fd311b817f37564a3c423ebe08,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.603469
prediction_runtime.db,E:\football_v\04_PREDICTION_LAYER\runtime\prediction_runtime.db,04_PREDICTION_LAYER,0.0156,PASS,3,8d0c66bd17196293a3c2413ff9e2c3c6181cfb85ee3f87b72af880ed11fa3a41,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.603469
market_value.db,E:\football_v\05_MARKET_LAYER\database\market_value.db,05_MARKET_LAYER,0.0078,PASS,1,d83e5e7cf21690b19485828393217749ffe794447f7dfbe17aaf9dfd1d56ded2,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.605466
risk_manager.db,E:\football_v\06_RISK_LAYER\database\risk_manager.db,06_RISK_LAYER,0.0078,PASS,1,a69070d4e4cd989662cb0fb6e424d83a1f9dae9a91a9450a429cc4a1c121e68b,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.606430
learning_feedback.db,E:\football_v\07_LEARNING_LAYER\database\learning_feedback.db,07_LEARNING_LAYER,0.0156,PASS,3,d7ce39a0d7fb7c0f846368009fe7a7f56f710891e37d2505c55f829941d7ae27,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.607497
decision_history.db,E:\football_v\08_DECISION_LAYER\database\decision_history.db,08_DECISION_LAYER,0.0117,PASS,2,b4e5d19ecbd75631a626860528cfc81d9ed21afdd43a2fff8069fa811d18abad,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.607497
application_runtime.db,E:\football_v\09_APPLICATION_LAYER\runtime\application_runtime.db,09_APPLICATION_LAYER,0.0078,PASS,1,bd475ca4a278cada49fd2eea6dd62df8c04b7c7f02c38db1ffdefc79809e1f60,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.607497
simulation_runtime.db,E:\football_v\11_SIMULATION_LAYER\runtime\simulation_runtime.db,11_SIMULATION_LAYER,0.0078,PASS,1,1beb659cd1ad162d4603bae7d8885e4e9248d67ff2d005b2530034fa2692ed92,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.607497
api_runtime.db,E:\football_v\12_API_LAYER\runtime\api_runtime.db,12_API_LAYER,0.0078,PASS,1,dbcf7cc3cf7819dd76f9523840930fd692be1cd0041370ff9b5fccd3192a5edc,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.607497
test_runtime.db,E:\football_v\13_TEST_LAYER\runtime\test_runtime.db,13_TEST_LAYER,0.0078,PASS,1,78a6df0bb7607536c0babd8a105109ad07ecb5076ad4a4cfc404940f5291d386,CURRENT,ACTIVE,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,2026-07-25 13:47:17.607497
