Layer,Exists,Asset_Count,Freeze_Status,Architecture,Baseline,Legacy_Source,Rule_Source,Database_Content,Business_Logic,Model_Code,Validation_Time
01_DATA_LAYER,True,1,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.888532
02_FEATURE_LAYER,True,1,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.888532
03_MODEL_LAYER,True,10,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.888532
04_PREDICTION_LAYER,True,10,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.888532
05_MARKET_LAYER,True,1,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.888532
06_RISK_LAYER,True,1,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.904432
07_LEARNING_LAYER,True,1,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.904432
08_DECISION_LAYER,True,5,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.905469
09_APPLICATION_LAYER,True,5,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.907447
10_GOVERNANCE_LAYER,True,128,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.908422
11_SIMULATION_LAYER,True,6,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.909418
12_API_LAYER,True,7,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.910415
13_TEST_LAYER,True,5,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.911412
99_DOCUMENTATION,True,384,FROZEN_APPROVED,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2,Football_AI_OS_Betting_Intelligence_System_Omega_V3.2_Baseline.md,Football_AI_OS_Legacy_Asset_Index_V1.0,CLAUDE.md,False,False,False,2026-07-25 14:01:19.920436
